iter	Passed	Remaining
0	45	45179
1	69	34825
2	99	32916
3	132	33004
4	161	32220
5	190	31550
6	228	32354
7	257	31918
8	294	32401
9	325	32196
10	354	31896
11	382	31462
12	409	31068
13	438	30850
14	461	30317
15	487	30000
16	511	29591
17	535	29214
18	560	28937
19	589	28888
20	618	28833
21	642	28548
22	668	28390
23	694	28232
24	720	28090
25	746	27975
26	771	27814
27	798	27735
28	821	27522
29	846	27385
30	873	27308
31	900	27245
32	923	27054
33	955	27157
34	991	27344
35	1027	27526
36	1070	27868
37	1103	27937
38	1135	27986
39	1165	27966
40	1193	27907
41	1218	27804
42	1247	27768
43	1273	27671
44	1299	27585
45	1331	27607
46	1355	27478
47	1382	27420
48	1411	27389
49	1436	27297
50	1459	27159
51	1483	27039
52	1509	26973
53	1532	26844
54	1560	26817
55	1586	26743
56	1612	26672
57	1634	26551
58	1656	26418
59	1680	26320
60	1704	26240
61	1728	26157
62	1753	26075
63	1777	26002
64	1806	25984
65	1830	25909
66	1857	25867
67	1884	25828
68	1910	25780
69	1937	25743
70	1963	25692
71	1998	25756
72	2035	25846
73	2063	25825
74	2141	26411
75	2194	26684
76	2238	26827
77	2270	26840
78	2300	26814
79	2333	26830
80	2362	26807
81	2391	26774
82	2418	26718
83	2440	26618
84	2467	26565
85	2495	26524
86	2520	26448
87	2544	26371
88	2568	26291
89	2592	26216
90	2621	26186
91	2651	26165
92	2680	26139
93	2707	26098
94	2735	26058
95	2759	25987
96	2783	25914
97	2815	25913
98	2841	25860
99	2865	25791
100	2889	25717
101	2914	25662
102	2937	25585
103	2960	25502
104	2982	25422
105	3007	25367
106	3036	25343
107	3066	25328
108	3099	25333
109	3124	25276
110	3150	25234
111	3175	25181
112	3201	25131
113	3230	25105
114	3257	25065
115	3283	25025
116	3317	25037
117	3346	25010
118	3381	25031
119	3411	25019
120	3439	24988
121	3465	24941
122	3491	24894
123	3515	24838
124	3541	24793
125	3569	24758
126	3594	24708
127	3618	24653
128	3642	24592
129	3668	24553
130	3693	24499
131	3718	24455
132	3742	24395
133	3764	24331
134	3789	24283
135	3814	24233
136	3839	24187
137	3862	24124
138	3889	24090
139	3911	24025
140	3937	23990
141	3968	23979
142	3998	23965
143	4024	23924
144	4051	23892
145	4078	23859
146	4109	23846
147	4137	23816
148	4163	23777
149	4188	23733
150	4220	23728
151	4252	23723
152	4277	23677
153	4301	23629
154	4326	23586
155	4351	23540
156	4373	23480
157	4398	23439
158	4422	23389
159	4451	23369
160	4476	23327
161	4504	23298
162	4535	23290
163	4571	23304
164	4600	23280
165	4634	23284
166	4665	23271
167	4692	23240
168	4719	23206
169	4748	23184
170	4778	23167
171	4804	23127
172	4834	23112
173	4864	23092
174	4893	23069
175	4924	23056
176	4951	23023
177	4984	23016
178	5009	22975
179	5034	22935
180	5059	22894
181	5084	22850
182	5108	22805
183	5138	22786
184	5172	22788
185	5199	22754
186	5234	22757
187	5266	22745
188	5301	22750
189	5333	22736
190	5355	22685
191	5379	22639
